rank,city,state,population,main_keyword,main_keyword_volume,cluster_volume,cpc,competition_providers,demand_score,market_score,commercial_intent_score,competition_score,cluster_score,ranking_chance_score,total_score,priority,volume_source,notes
108,Frankfurt (Oder),Brandenburg,56000,entrümpelung frankfurt oder,25,81,3.50,3,7.2,3.1,17.0,10.0,4.0,5.0,46.3,D,SCHÄTZUNG (Bevölkerungs-Proxy),"BB; Grenzstadt Polen; zu klein; wenig Potenzial"
109,Weimar,Thüringen,65000,entrümpelung weimar,29,94,3.50,5,8.1,3.5,17.0,9.8,5.0,5.0,48.4,C,SCHÄTZUNG (Bevölkerungs-Proxy),"Thüringen; Kulturstadt; Erfurt-Cluster"
110,Eisenach,Thüringen,42000,entrümpelung eisenach,19,60,3.50,3,5.7,2.4,17.0,10.0,4.0,5.0,44.1,D,SCHÄTZUNG (Bevölkerungs-Proxy),"Thüringen; zu klein standalone"
111,Landshut,Bayern,77000,entrümpelung landshut,35,111,5.00,8,8.9,3.8,17.0,9.6,6.0,5.0,50.3,C,SCHÄTZUNG (Bevölkerungs-Proxy),"München-Cluster-Ost; wenig Wettbewerb"
112,Kempten (Allgäu),Bayern,70000,entrümpelung kempten,31,101,4.80,5,8.4,3.6,17.0,9.8,4.0,5.0,47.8,C,SCHÄTZUNG (Bevölkerungs-Proxy),"Allgäu; touristisch; wenig Wettbewerb"
113,Esslingen am Neckar,Baden-Württemberg,94000,entrümpelung esslingen,42,135,4.80,8,9.9,4.3,17.0,9.6,8.0,5.0,53.8,C,SCHÄTZUNG (Bevölkerungs-Proxy),"Stuttgart-Cluster-Satellit; sehr attraktiv"
114,Ravensburg,Baden-Württemberg,51000,entrümpelung ravensburg,23,73,4.50,3,6.8,2.9,17.0,10.0,4.0,5.0,45.7,D,SCHÄTZUNG (Bevölkerungs-Proxy),"Bodensee; zu klein standalone"
115,Landau in der Pfalz,Rheinland-Pfalz,48000,entrümpelung landau,22,69,4.00,3,6.4,2.7,17.0,10.0,5.0,5.0,46.1,D,SCHÄTZUNG (Bevölkerungs-Proxy),"RP; Mannheim-Cluster-Rand; zu klein standalone"
116,Flensburg,Schleswig-Holstein,91000,entrümpelung flensburg,41,131,3.50,8,9.7,4.2,17.0,9.6,3.0,5.0,48.5,C,SCHÄTZUNG (Bevölkerungs-Proxy),"SH; Grenzstadt Dänemark; isoliert; wenig Wettbewerb"
117,Hanau,Hessen,97000,entrümpelung hanau,44,140,5.00,8,10.2,4.4,17.0,9.6,8.0,5.0,54.2,C,SCHÄTZUNG (Bevölkerungs-Proxy),"Frankfurt-Cluster-Ost; sehr attraktiv; wenig Wettbewerb"
118,Fulda,Hessen,67000,entrümpelung fulda,30,96,4.20,5,8.2,3.5,17.0,9.8,4.0,5.0,47.5,D,SCHÄTZUNG (Bevölkerungs-Proxy),"Hessen; mittlere Stadt; isolation"
119,Homburg (Saar),Saarland,43000,entrümpelung homburg,19,62,3.50,3,5.7,2.4,17.0,10.0,4.0,5.0,44.1,D,SCHÄTZUNG (Bevölkerungs-Proxy),"SL; Saarbrücken-Cluster; zu klein standalone"
120,Neunkirchen,Saarland,47000,entrümpelung neunkirchen,21,68,3.50,3,6.3,2.7,17.0,10.0,4.0,5.0,45.0,D,SCHÄTZUNG (Bevölkerungs-Proxy),"SL; Saarbrücken-Cluster; zu klein standalone"
121,Schweinfurt,Bayern,54000,entrümpelung schweinfurt,24,78,4.80,3,7.1,3.0,17.0,10.0,4.0,5.0,46.1,D,SCHÄTZUNG (Bevölkerungs-Proxy),"BY; Würzburg-Cluster; grenzwertig für standalone"
122,Kaiserslautern,Rheinland-Pfalz,98000,entrümpelung kaiserslautern,44,141,3.80,8,10.3,4.4,17.0,9.6,3.0,5.0,49.3,C,SCHÄTZUNG (Bevölkerungs-Proxy),"RP; Standalone-Seite sinnvoll"
123,Heidenheim an der Brenz,Baden-Württemberg,49000,entrümpelung heidenheim,22,70,4.50,3,6.5,2.8,17.0,10.0,5.0,5.0,46.3,D,SCHÄTZUNG (Bevölkerungs-Proxy),"BW; Stuttgart-Cluster-Rand; zu klein"
124,Bottrop,Nordrhein-Westfalen,117000,entrümpelung bottrop,53,169,3.80,12,11.1,4.8,17.0,9.3,8.0,4.5,54.7,C,SCHÄTZUNG (Bevölkerungs-Proxy),"Ruhrgebiet; gut für Cluster"
125,Oberhausen,Nordrhein-Westfalen,210000,entrümpelung oberhausen,94,302,3.80,30,14.2,6.1,17.0,7.7,9.0,4.0,58.0,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Ruhrgebiet - bereits in Rang 25 erfasst"
